# Amusement Detection Log
# Date: 2026-01-06 15:07:04
# Subject: Maria
# Age: 22
# Gender: Female
------------------------------
time, video_id, au25, au12, au6, audio, smile, laughter, amusement
00:15, wqMQNIlzdGk, 0.003, 0.130, 0.000, 0.213, 0.065, 0.082, 0.075
00:16, wqMQNIlzdGk, 0.003, 0.131, 0.000, 0.189, 0.066, 0.078, 0.073
00:16, wqMQNIlzdGk, 0.003, 0.134, 0.000, 0.171, 0.067, 0.075, 0.072
00:16, wqMQNIlzdGk, 0.003, 0.137, 0.003, 0.159, 0.070, 0.074, 0.073
00:16, wqMQNIlzdGk, 0.004, 0.140, 0.007, 0.294, 0.073, 0.104, 0.092
00:16, wqMQNIlzdGk, 0.005, 0.142, 0.010, 0.388, 0.076, 0.124, 0.105
00:16, wqMQNIlzdGk, 0.006, 0.145, 0.010, 0.454, 0.077, 0.139, 0.114
00:16, wqMQNIlzdGk, 0.009, 0.147, 0.010, 0.500, 0.078, 0.149, 0.121
00:16, wqMQNIlzdGk, 0.011, 0.149, 0.013, 0.532, 0.081, 0.157, 0.127
00:16, wqMQNIlzdGk, 0.013, 0.153, 0.017, 0.555, 0.085, 0.165, 0.133
00:16, wqMQNIlzdGk, 0.014, 0.158, 0.024, 0.571, 0.091, 0.172, 0.139
00:16, wqMQNIlzdGk, 0.015, 0.161, 0.034, 0.589, 0.097, 0.179, 0.146
00:16, wqMQNIlzdGk, 0.015, 0.161, 0.045, 0.601, 0.103, 0.185, 0.152
00:16, wqMQNIlzdGk, 0.015, 0.160, 0.054, 0.610, 0.107, 0.189, 0.156
00:16, wqMQNIlzdGk, 0.014, 0.161, 0.064, 0.616, 0.112, 0.193, 0.161
00:17, wqMQNIlzdGk, 0.013, 0.165, 0.074, 0.620, 0.120, 0.198, 0.167
00:17, wqMQNIlzdGk, 0.014, 0.171, 0.084, 0.623, 0.128, 0.204, 0.173
00:17, wqMQNIlzdGk, 0.015, 0.175, 0.092, 0.625, 0.134, 0.208, 0.179
00:17, wqMQNIlzdGk, 0.039, 0.185, 0.102, 0.627, 0.143, 0.219, 0.189
00:17, wqMQNIlzdGk, 0.068, 0.196, 0.111, 0.542, 0.153, 0.214, 0.190
00:17, wqMQNIlzdGk, 0.092, 0.209, 0.118, 0.483, 0.164, 0.213, 0.194
00:17, wqMQNIlzdGk, 0.109, 0.219, 0.124, 0.442, 0.172, 0.213, 0.197
00:17, wqMQNIlzdGk, 0.121, 0.225, 0.127, 0.413, 0.176, 0.213, 0.198
00:17, wqMQNIlzdGk, 0.131, 0.230, 0.130, 0.393, 0.180, 0.213, 0.199
00:17, wqMQNIlzdGk, 0.138, 0.234, 0.135, 0.379, 0.185, 0.214, 0.202
00:17, wqMQNIlzdGk, 0.144, 0.237, 0.293, 0.369, 0.265, 0.261, 0.263
00:17, wqMQNIlzdGk, 0.151, 0.241, 0.443, 0.362, 0.342, 0.308, 0.321
00:17, wqMQNIlzdGk, 0.158, 0.244, 0.455, 0.357, 0.350, 0.313, 0.328
